Approach,Total_Runtime_s,Average_Runtime_ms,Min_Runtime_ms,Max_Runtime_ms,Std_Dev_Runtime_ms,CPU_Brand,CPU_Arch,CPU_Cores_Physical,CPU_Cores_Logical,CPU_Frequency_MHz,CPU_Usage_Percent,RAM_Total_GB,RAM_Available_GB,RAM_Usage_Percent,OS,OS_Version,OS_Release,Machine
MelDet,1.0794092499891121,10.794092499891121,0.19919999976991676,36.169900000459165,8.747944374246272,AMD Ryzen 7 4800H with Radeon Graphics,X86_64,8,16,2900.0,0.3,15.37,3.64,76.3,Windows,10.0.22631,11,AMD64
Hungarian,1.0455025999908685,10.455025999908685,0.19629999951575883,36.18694999931904,8.75115672155524,AMD Ryzen 7 4800H with Radeon Graphics,X86_64,8,16,2900.0,0.3,15.37,3.64,76.3,Windows,10.0.22631,11,AMD64
SumCommon,0.9737085999950068,9.737085999950068,0.17719999959808774,34.09855000245443,8.154285762067644,AMD Ryzen 7 4800H with Radeon Graphics,X86_64,8,16,2900.0,0.3,15.37,3.64,76.3,Windows,10.0.22631,11,AMD64
Tversky,0.9923551500141912,9.923551500141912,0.17685000057099387,34.50340000199503,8.32843107728302,AMD Ryzen 7 4800H with Radeon Graphics,X86_64,8,16,2900.0,0.3,15.37,3.64,76.3,Windows,10.0.22631,11,AMD64
