Approach,Pitch_MSE,Pitch_MSE_Std,Pitch_MSE_Min,Pitch_MSE_Max,Rhythm_MSE,Rhythm_MSE_Std,Rhythm_MSE_Min,Rhythm_MSE_Max,Combined_Features_MSE,Combined_Features_MSE_Std,Combined_Features_MSE_Min,Combined_Features_MSE_Max
MelDet,0.1660,0.1813,-0.0153,0.3474,0.1797,0.2358,-0.0562,0.4155,0.1729,0.2103,-0.0375,0.3832
Hungarian,0.1470,0.1020,0.0450,0.2490,0.2146,0.1481,0.0665,0.3627,0.1808,0.1272,0.0537,0.3080
SumCommon,0.2627,0.3453,-0.0827,0.6080,0.2674,0.3212,-0.0538,0.5886,0.2650,0.3335,-0.0684,0.5985
Tversky,0.2059,0.3009,-0.0950,0.5068,0.2230,0.2634,-0.0404,0.4864,0.2144,0.2828,-0.0683,0.4972
