Approach,Total_Time_s,Avg_Time_ms,Sequence1_Size,Sequence2_Size,Time_ms
Hungarian,1.0455025999908685,10.455025999908685,67,27,6.976499998927466
Hungarian,1.0455025999908685,10.455025999908685,67,37,9.608499998648767
Hungarian,1.0455025999908685,10.455025999908685,67,47,12.24384999841277
Hungarian,1.0455025999908685,10.455025999908685,67,57,14.77714999964519
Hungarian,1.0455025999908685,10.455025999908685,67,67,17.292699998506578
Hungarian,1.0455025999908685,10.455025999908685,67,77,19.894750001185457
Hungarian,1.0455025999908685,10.455025999908685,67,87,22.433349999118946
Hungarian,1.0455025999908685,10.455025999908685,67,97,24.975950000225566
Hungarian,1.0455025999908685,10.455025999908685,77,7,2.0944999996572733
Hungarian,1.0455025999908685,10.455025999908685,77,17,5.04114999785088
Hungarian,1.0455025999908685,10.455025999908685,77,27,8.017899999686051
Hungarian,1.0455025999908685,10.455025999908685,77,37,10.948049999569776
Hungarian,1.0455025999908685,10.455025999908685,77,47,13.988149998112931
Hungarian,1.0455025999908685,10.455025999908685,77,57,17.056750000847387
Hungarian,1.0455025999908685,10.455025999908685,77,67,19.92699999937031
Hungarian,1.0455025999908685,10.455025999908685,77,77,22.82944999933534
Hungarian,1.0455025999908685,10.455025999908685,77,87,25.82405000066501
Hungarian,1.0455025999908685,10.455025999908685,77,97,28.94274999925983
Hungarian,1.0455025999908685,10.455025999908685,87,7,2.3601499997312203
Hungarian,1.0455025999908685,10.455025999908685,87,17,5.702099999325583
Hungarian,1.0455025999908685,10.455025999908685,87,27,9.026000001540524
Hungarian,1.0455025999908685,10.455025999908685,87,37,12.613650000275811
Hungarian,1.0455025999908685,10.455025999908685,87,47,16.467899999042857
Hungarian,1.0455025999908685,10.455025999908685,87,57,19.134800000756513
Hungarian,1.0455025999908685,10.455025999908685,87,67,22.478300001239404
Hungarian,1.0455025999908685,10.455025999908685,87,77,25.861299998723553
Hungarian,1.0455025999908685,10.455025999908685,87,87,29.22030000081577
Hungarian,1.0455025999908685,10.455025999908685,87,97,32.566149999183835
Hungarian,1.0455025999908685,10.455025999908685,97,7,2.637249999679625
Hungarian,1.0455025999908685,10.455025999908685,97,17,6.380450000506244
Hungarian,1.0455025999908685,10.455025999908685,97,27,10.138150000784663
Hungarian,1.0455025999908685,10.455025999908685,97,37,13.957000001028064
Hungarian,1.0455025999908685,10.455025999908685,97,47,17.66719999977795
Hungarian,1.0455025999908685,10.455025999908685,97,57,21.312650000254507
